0,-124,132,115
1,-115,100,201
2,-130,138,119
3,-123,105,205
4,-137,141,163
5,-145,120,178
6,-140,123,163
7,-141,117,164
8,-146,127,157
9,-155,133,160
10,-182,129,176
11,-210,135,170
12,-212,94,173
13,-205,54,148
14,-190,28,167
15,-161,39,155
16,-131,62,170
17,-110,65,161
18,-69,90,172
19,-46,90,162
20,-23,125,176
21,-18,119,146
22,-27,123,153
23,-3,180,190
24,-43,135,146
25,-34,193,193
26,-56,203,131
27,-32,221,206
28,-44,218,178
29,-57,191,191
30,-35,212,158
31,-41,186,228
32,-50,220,212
33,-61,175,205
34,-102,206,190
35,-110,196,196
36,-106,179,218
37,-118,149,213
38,-128,129,214
39,-126,175,191
40,-99,134,195
41,-97,122,120
42,-80,141,117
43,-71,150,117
44,-80,149,90
45,-86,175,115
46,-89,176,130
47,-91,197,141
48,-92,196,144
49,-93,192,145
50,-94,186,135
51,-96,185,134
52,-96,178,130
53,-91,184,134
54,-94,186,133
55,-92,187,150
56,-94,187,144
57,-97,181,140
58,-98,183,133
59,-95,183,137