0,-142,135,149
1,-129,119,158
2,-140,128,149
3,-151,125,172
4,-150,130,161
5,-153,105,160
6,-154,115,157
7,-157,122,138
8,-148,121,161
9,-152,127,138
10,-153,107,156
11,-157,107,150
12,-159,105,156
13,-155,113,152
14,-158,110,150
15,-159,114,150
16,-162,118,148
17,-152,104,166
18,-141,109,142
19,-113,110,153
20,-105,82,142
21,-84,79,146
22,-98,63,120
23,-89,65,145
24,-98,86,138
25,-144,70,145
26,-184,140,154
27,-231,172,178
28,-224,176,218
29,-206,164,211
30,-205,89,194
31,-164,158,199
32,-148,103,159
33,-138,88,171
34,-138,116,161
35,-136,93,191
36,-142,103,156
37,-128,135,197
38,-134,150,174
39,-143,102,197
40,-152,108,155
41,-150,86,187
42,-154,102,155
43,-174,1,195
44,-169,64,136
45,-166,17,152
46,-172,14,148
47,-182,-2,161
48,-191,-24,152
49,-185,18,173
50,-181,28,177
51,-179,38,178
52,-177,38,178
53,-178,35,164
54,-170,54,176
55,-172,35,157
56,-173,42,180
57,-176,28,158
58,-170,46,171
59,-178,35,161